speed=20.0
extinguishingtime=30
firespreadchance=0.0115
modus0=DumbFireFighter
modus1=ContractFireFighter
lineofsight=variable
modus,numFireFighters,numFires,seed,losSight,losComm,amountOfTicks

0,10,394,546,380,187,383,111,239,913,490,398
1,10,1121,290,282,218,419,131,233,442,1136,402
2,10,794,336,608,230,590,132,328,492,1050,640
0,9,399,546,380,187,383,111,240,1067,455,398
1,9,1347,316,283,222,419,131,230,684,1090,426
2,9,806,308,684,236,696,132,404,556,970,846
0,8,376,410,380,187,383,111,239,952,452,398
1,8,1138,477,283,216,400,131,285,560,993,457
2,8,1358,360,672,228,1002,132,544,512,2056,1154
0,7,373,354,380,188,382,111,239,428,452,398
1,7,1448,1017,284,244,434,130,229,523,1409,402
2,7,1220,350,730,226,1890,132,606,510,2430,1082
0,6,373,304,380,188,382,111,240,400,452,398
1,6,1145,305,285,265,460,129,230,920,946,1159
2,6,3932,388,964,226,1872,132,2600,644,3848,1396
0,5,380,340,380,187,382,111,240,399,444,365
1,5,1144,526,286,287,375,122,239,642,1147,1183
2,5,3804,618,1016,298,1594,132,4344,1212,3124,2176
0,4,389,340,271,187,382,111,240,378,372,353
1,4,1083,731,288,362,422,166,250,668,1006,1154
2,4,4418,3562,686,306,7752,150,5190,1990,6022,4996
0,3,375,297,272,190,383,111,240,376,354,357
1,3,2229,488,777,1261,375,168,349,671,1848,830
2,3,5938,1244,978,272,4936,194,5492,8366,8708,6752
