speed=20.0
extinguishingtime=30
firespreadchance=0.0115
modus0=DumbFireFighter
modus1=ContractFireFighter
lineofsight=variable
modus,numFireFighters,numFires,seed,losSight,losComm,amountOfTicks

0,10,411,365,507,187,456,207,595,768,489,395
1,10,399,374,271,190,403,220,258,581,524,415
2,10,1218,530,730,218,898,202,370,554,892,862
0,9,373,289,507,187,454,207,369,830,481,387
1,9,453,406,391,194,420,247,246,427,477,398
2,9,1190,370,730,218,1448,212,390,606,1360,1900
0,8,411,313,289,188,442,208,430,671,475,387
1,8,392,331,412,191,404,203,250,413,513,402
2,8,3228,456,740,212,1116,212,318,592,1884,1412
0,7,361,314,289,188,450,208,390,652,432,387
1,7,382,333,321,188,402,216,240,511,502,409
2,7,2388,396,844,226,1258,248,440,826,4224,1506
0,6,365,335,289,188,452,208,200,448,385,351
1,6,387,373,297,188,409,227,300,476,498,374
2,6,13238,528,2308,226,1672,230,474,774,4216,5134
0,5,361,368,289,188,416,208,199,403,400,351
1,5,389,326,328,188,425,273,236,526,500,390
2,5,20088,684,976,226,2576,308,758,1316,7082,3462
0,4,362,304,289,188,409,209,199,382,381,351
1,4,386,322,764,188,444,281,234,475,409,414
2,4,20382,1534,17468,230,3728,248,6948,5602,17168,17674
0,3,808,325,289,188,671,213,202,409,398,351
1,3,388,332,922,197,394,271,227,445,459,350
2,3,45422,20418,19886,266,15858,228,17722,15876,19284
